Sampling_type,SiteName,siteID,site_group,SiteID,site_num,Fluoride,Chloride,Nitrite,Bromide,NitrateN,PhosphateP,Sulfate,NH4N
Center,Alameda,Al_1,Al,Alameda_1,1,.,11.12,.,0.06,0.13,0.02,45.36,0.01
Ditch,Alameda,Al_2,Al,Alameda_2,2,.,10.63,.,0.05,0.04,0.01,54.14,0.01
East,Alameda,Al_3,Al,Alameda_3,3,.,11.93,.,0.05,0.06,0.08,47.94,0.01
North,Alameda,Al_4,Al,Alameda_4,4,.,.,.,.,.,.,.,.
River,Alameda,Al_5,Al,Alameda_5,5,.,10.62,.,0.04,0.12,0.03,41.7,0.01
South,Alameda,Al_6,Al,Alameda_6,6,.,11.85,.,0.05,0.02,0.05,46.2,0.07
West,Alameda,Al_7,Al,Alameda_7,7,.,9.86,.,0.05,0.07,0.02,44.12,0.01
Center,Alameda,Al_8,Al,Alameda_8,8,.,13.54,.,0.05,0.11,0.03,45.31,0.02
Ditch,Alameda,Al_9,Al,Alameda_9,9,.,14.41,.,0.06,0.08,0.02,49.27,0.05
East,Alameda,Al_10,Al,Alameda_10,10,.,.,.,.,.,.,.,.
North,Alameda,Al_11,Al,Alameda_11,11,.,13.15,.,0.06,0.13,0.05,44.38,0.01
River,Alameda,Al_12,Al,Alameda_12,12,.,15,.,0.05,0.04,0.04,43.75,0.03
South,Alameda,Al_13,Al,Alameda_13,13,.,.,.,.,.,.,.,.
West,Alameda,Al_14,Al,Alameda_14,14,.,13.11,.,0.06,0.08,0.04,44.32,0.01
Center,Alameda,Al_15,Al,Alameda_15,15,.,6.36,.,0.04,0.11,0.06,37.93,0
East,Alameda,Al_16,Al,Alameda_16,16,.,7.22,.,0.04,0.07,0.05,37.03,0.01
South,Alameda,Al_17,Al,Alameda_17,17,.,8.66,.,0.06,0.08,0.03,46.48,0.01
North,Alameda,Al_18,Al,Alameda_18,18,.,3.9,.,0.04,0.1,0.07,18.09,0.03
River,Alameda,Al_19,Al,Alameda_19,19,.,5.96,.,0.04,0.1,0.04,40.74,0.02
West,Alameda,Al_20,Al,Alameda_20,20,.,4.46,.,0.02,0.08,0.01,29.06,0.02
Center,Alameda,Al_21,Al,Alameda_21,21,.,14.25,.,0.05,0.03,0.02,104.76,0
East,Alameda,Al_22,Al,Alameda_22,22,.,14.48,.,0.07,0.02,0.02,95.72,0
North,Alameda,Al_23,Al,Alameda_23,23,.,15.89,.,0.06,0.04,0.01,130.61,0
River,Alameda,Al_24,Al,Alameda_24,24,.,12.04,.,0.03,0.25,0.03,43.93,0.06
South,Alameda,Al_25,Al,Alameda_25,25,.,17.03,.,0.07,0.02,0.02,111.86,0
West,Alameda,Al_26,Al,Alameda_26,26,.,11.05,.,0.05,0.04,0.03,85.75,0
Center,Alameda,Al_27,Al,Alameda_27,27,.,10.43,.,0.04,0.13,0.02,33.93,0
East,Alameda,Al_28,Al,Alameda_28,28,.,11.6,.,0.05,0.02,0.01,54.3,0
North,Alameda,Al_29,Al,Alameda_29,29,.,11.15,.,0.04,0.11,0.03,36.24,0
River,Alameda,Al_30,Al,Alameda_30,30,.,8.15,.,0.03,0.09,0.02,32.91,0.02
South,Alameda,Al_31,Al,Alameda_31,31,.,10.6,.,0.05,0.04,0.02,37.5,0
West,Alameda,Al_32,Al,Alameda_32,32,.,8.39,.,0.03,0.07,0.01,33.51,0
East,Alameda,Al_33,Al,Alameda_33,33,.,18.51,.,0.06,0.05,0.02,50.83,0.01
North,Alameda,Al_34,Al,Alameda_34,34,.,21.63,.,0.07,0.17,0.03,51.55,0.01
River,Alameda,Al_35,Al,Alameda_35,35,.,15.11,.,0.07,0.1,0.02,43.4,0.02
South,Alameda,Al_36,Al,Alameda_36,36,.,17.5,.,0.06,0.11,0.02,49.3,0.01
Center,Alameda,Al_37,Al,Alameda_37,37,.,19.44,.,0.08,0.16,0.04,50.17,0.01
West,Alameda,Al_38,Al,Alameda_38,38,.,16.71,.,0.08,0.13,0.02,47.45,0.01
Center,Alameda,Al_39,Al,Alameda_39,39,.,6.03,.,0.02,0.1,0.02,25.74,0
East,Alameda,Al_40,Al,Alameda_40,40,.,9.54,.,0.05,0.06,0.02,47.72,0
North,Alameda,Al_41,Al,Alameda_41,41,.,10.61,.,0.08,0.16,0.01,48.77,0
River,Alameda,Al_42,Al,Alameda_42,42,.,9.08,.,0.04,0.06,0.02,45.88,0
South,Alameda,Al_43,Al,Alameda_43,43,.,10.5,.,0.04,0.13,0.02,50.38,0
West,Alameda,Al_44,Al,Alameda_44,44,.,10.38,.,0.05,0.1,0.04,48.24,0
Center,Alameda,Al_45,Al,Alameda_45,45,.,4.36,.,0.03,0.08,0.04,34.11,0.01
East,Alameda,Al_46,Al,Alameda_46,46,.,3.65,.,0.04,0.02,0.04,32.55,0
North,Alameda,Al_47,Al,Alameda_47,47,.,4.29,.,0.03,0.08,0.03,34.27,0.01
River,Alameda,Al_48,Al,Alameda_48,48,.,9.01,.,0.04,0.07,0,39.19,0.02
South,Alameda,Al_49,Al,Alameda_49,49,.,4.13,.,0.03,0.01,0.02,33.94,0.01
West,Alameda,Al_50,Al,Alameda_50,50,.,4.68,.,0.04,0.07,0.03,34.99,0
Center,Alameda,Al_51,Al,Alameda_51,51,.,9.86,.,0.02,0.17,0.05,41.39,0
East,Alameda,Al_52,Al,Alameda_52,52,.,9.25,.,0.05,0.1,0.07,42.82,0
North,Alameda,Al_53,Al,Alameda_53,53,.,10.01,.,0.01,0.24,0.01,42.14,0
River,Alameda,Al_54,Al,Alameda_54,54,.,9.99,.,0.05,0.06,0.01,47.95,0
South,Alameda,Al_55,Al,Alameda_55,55,.,9.37,.,0.03,0.16,0.03,42.79,0
West,Alameda,Al_56,Al,Alameda_56,56,.,9.36,.,0.04,0.15,0.04,42.01,0
Center,Badger,Bg_1,Bg,Badger_1,1,,10.69,,0.05,0.08,0.01,42.6,0.01
East,Badger,Bg_2,Bg,Badger_2,2,,10.76,,0.05,0.1,0.03,42.04,0.01
North,Badger,Bg_3,Bg,Badger_3,3,,9.66,,0.05,0.14,0.1,41.74,0.01
South,Badger,Bg_4,Bg,Badger_4,4,,10.5,,0.05,0.13,0.02,43.51,0.02
West,Badger,Bg_5,Bg,Badger_5,5,.,9.8,.,0.05,0.03,0.08,41.64,0.03
Center,Badger,Bg_6,Bg,Badger_6,6,.,13.9,.,0.05,0.07,0.03,44.97,0
East,Badger,Bg_7,Bg,Badger_7,7,.,12.75,.,0.04,0.06,0.02,45.48,0.01
North,Badger,Bg_8,Bg,Badger_8,8,.,13.76,.,0.05,0.16,0,43.4,0
River,Badger,Bg_9,Bg,Badger_9,9,.,16.65,.,0.06,0.03,0.01,44.02,0.04
South,Badger,Bg_10,Bg,Badger_10,10,.,13.62,.,0.06,0.09,0.04,45.9,0.01
West,Badger,Bg_11,Bg,Badger_11,11,.,13.27,.,0.05,0.11,0.03,44.24,0.02
Center,Badger,Bg_12,Bg,Badger_12,12,.,6.56,.,0.04,0.1,0.05,39.17,0.03
Ditch,Badger,Bg_13,Bg,Badger_13,13,.,9.51,.,0.04,0.06,0.03,44.8,0.07
East,Badger,Bg_14,Bg,Badger_14,14,.,6.95,.,0.07,0.1,0.05,39.84,0.02
North,Badger,Bg_15,Bg,Badger_15,15,.,5.68,.,0.05,0.14,0.03,39.84,0.01
River,Badger,Bg_16,Bg,Badger_16,16,.,5.22,.,0.01,0.06,0.02,40.73,0.03
South,Badger,Bg_17,Bg,Badger_17,17,.,6.83,.,0.03,0.13,0.03,41.09,0.01
West,Badger,Bg_18,Bg,Badger_18,18,.,5.93,.,0.03,0.04,0.04,39.15,0.03
Center,Badger,Bg_19,Bg,Badger_19,19,.,15.86,.,0.07,0.02,0.02,110.77,0
Ditch,Badger,Bg_20,Bg,Badger_20,20,.,13.88,.,0.05,0.09,0.02,70.76,0.01
East,Badger,Bg_21,Bg,Badger_21,21,.,14.62,.,0.06,0.02,0.02,79.37,0
North,Badger,Bg_22,Bg,Badger_22,22,.,9.94,.,0.04,0.12,0.03,67.83,0
River,Badger,Bg_23,Bg,Badger_23,23,.,11.07,.,0.04,0.29,0.04,67.04,0
South,Badger,Bg_24,Bg,Badger_24,24,.,15.72,.,0.09,0.02,0.01,111.79,0
West,Badger,Bg_25,Bg,Badger_25,25,.,11.35,.,0.06,0.01,0.02,86.97,0
Center,Badger,Bg_26,Bg,Badger_26,26,.,11.02,.,0.06,0.09,0.06,34.6,0
Ditch,Badger,Bg_27,Bg,Badger_27,27,.,13.86,.,0.07,0.04,0.02,61.72,0.01
East,Badger,Bg_28,Bg,Badger_28,28,.,11.06,.,0.06,0.02,0.07,46.83,0
North,Badger,Bg_29,Bg,Badger_29,29,.,9,.,0,0.13,0.06,31.37,0.01
River,Badger,Bg_30,Bg,Badger_30,30,.,7.48,.,0.03,0.07,0.04,30.59,0.02
South,Badger,Bg_31,Bg,Badger_31,31,.,11.05,.,0.05,0.08,0.04,37.88,0
West,Badger,Bg_32,Bg,Badger_32,32,.,7.95,.,0.05,0.04,0.06,31.45,0.01
Center,Badger,Bg_33,Bg,Badger_33,33,.,25.67,.,0.1,0.12,0.03,50.26,0.01
Ditch,Badger,Bg_34,Bg,Badger_34,34,.,17.6,.,0.07,0.07,0.02,52.95,0.02
East,Badger,Bg_35,Bg,Badger_35,35,.,18.78,.,0.07,0.11,0.04,50.67,0.01
North,Badger,Bg_36,Bg,Badger_36,36,.,18.94,.,0.08,0.17,0.04,49.68,0.01
River,Badger,Bg_37,Bg,Badger_37,37,.,15.2,.,0.07,0.1,0.02,44.51,0.04
South,Badger,Bg_38,Bg,Badger_38,38,.,20.27,.,0.06,0.09,0.02,51.58,0.01
West,Badger,Bg_39,Bg,Badger_39,39,.,21.01,.,0.01,0.08,0.03,48.52,0.02
Center,Badger,Bg_40,Bg,Badger_40,40,.,9.2,.,1.89,0.1,0.02,43.6,0
Ditch,Badger,Bg_41,Bg,Badger_41,41,.,11.25,.,1.44,0.04,0.05,56.46,0
East,Badger,Bg_42,Bg,Badger_42,42,.,8.22,.,1.27,0.09,0.02,39.2,0.01
North,Badger,Bg_43,Bg,Badger_43,43,.,11.59,.,2.02,0.14,0.09,52.99,0.01
River,Badger,Bg_44,Bg,Badger_44,44,.,9.79,.,1.4,0.05,0.02,47.76,0
South,Badger,Bg_45,Bg,Badger_45,45,.,9.22,.,1.87,0.15,0.02,46.26,0
West,Badger,Bg_46,Bg,Badger_46,46,.,9.58,.,1.59,0.04,0.11,55.32,0
Center,Badger,Bg_47,Bg,Badger_47,47,.,5.38,.,0.04,0.08,0.02,38.15,0.02
Ditch,Badger,Bg_48,Bg,Badger_48,48,.,5.58,.,0.04,0.04,0.02,39.2,0.02
East,Badger,Bg_49,Bg,Badger_49,49,.,4.12,.,0.01,0.07,0.03,36.89,0
North,Badger,Bg_50,Bg,Badger_50,50,.,4.75,.,0.02,0,0.02,34.99,0
River,Badger,Bg_51,Bg,Badger_51,51,.,5,.,0.03,0.13,0.04,34.14,0.03
South,Badger,Bg_52,Bg,Badger_52,52,.,4.26,.,0.04,0.07,0.03,33.86,0
West,Badger,Bg_53,Bg,Badger_53,53,.,4.85,.,0.03,0.01,0.02,35.1,0.02
Center,Badger,Bg_54,Bg,Badger_54,54,.,10.63,.,0.07,0.05,0.03,42.29,0
Ditch,Badger,Bg_55,Bg,Badger_55,55,.,8.83,.,0.03,0.07,0.01,48.73,0
North,Badger,Bg_56,Bg,Badger_56,56,.,9.07,.,0.02,0.18,0.06,42.26,0
River,Badger,Bg_57,Bg,Badger_57,57,.,11.99,.,0.04,0.06,0.01,47.95,0
South,Badger,Bg_58,Bg,Badger_58,58,.,9.96,.,0.05,0.17,0.03,41.1,0
West,Badger,Bg_59,Bg,Badger_59,59,.,10.57,.,0.08,0.03,0.04,37.09,0.02
East,Badger,Bg_60,Bg,Badger_60,60,.,9.85,.,0.08,0.12,0.04,40.75,0
Center,Badger,Bg_61,Bg,Badger_61,61,.,4.31,.,0.01,0.12,0.02,29.36,0.01
Ditch,Badger,Bg_62,Bg,Badger_62,62,.,10.02,.,0.03,0.13,0.03,43.76,0.03
East,Badger,Bg_63,Bg,Badger_63,63,.,7.52,.,0.02,0.03,0.01,36.01,0
North,Badger,Bg_64,Bg,Badger_64,64,.,3.79,.,0,0.2,0.02,29.96,0
River,Badger,Bg_65,Bg,Badger_65,65,.,3.31,.,0.01,0.1,0.02,28.61,0.04
South,Badger,Bg_66,Bg,Badger_66,66,.,5.79,.,0.02,0.05,0.02,32.44,0
West,Badger,Bg_67,Bg,Badger_67,67,.,4.35,.,0.02,0.02,0.02,33.83,0.02
Center,Badger,Bg_68,Bg,Badger_68,68,.,3.67,.,0.01,0.13,0.01,32.28,0.01
Ditch,Badger,Bg_69,Bg,Badger_69,69,.,7.19,.,0.02,0.12,0.03,44.9,0.02
East,Badger,Bg_70,Bg,Badger_70,70,.,4.03,.,0.02,0.1,0.02,31.84,0
North,Badger,Bg_71,Bg,Badger_71,71,.,4.38,.,0.01,0.23,0.01,39.43,0
River,Badger,Bg_72,Bg,Badger_72,72,.,4.27,.,0.01,0.15,0.03,48.73,0.03
South,Badger,Bg_73,Bg,Badger_73,73,.,3.79,.,0.02,0.15,0.02,32.05,0
West,Badger,Bg_74,Bg,Badger_74,74,.,4.89,.,0.01,0.16,0.02,41.94,0.01
Center,Badger,Bg_75,Bg,Badger_75,75,.,4.69,.,0.04,0.06,0.02,51.81,0.03
Ditch,Badger,Bg_76,Bg,Badger_76,76,.,7.58,.,0.02,0.06,0.02,51.86,0.04
East,Badger,Bg_77,Bg,Badger_77,77,.,6.35,.,0.03,0.05,0.02,60.58,0.03
North,Badger,Bg_78,Bg,Badger_78,78,.,5.14,.,0.04,0.03,0.03,50.3,0.05
River,Badger,Bg_79,Bg,Badger_79,79,.,5.9,.,0.03,0.08,0.02,53.73,0.06
South,Badger,Bg_80,Bg,Badger_80,80,.,5.18,.,0.05,0.06,0.02,52.8,0.04
West,Badger,Bg_81,Bg,Badger_81,81,.,5.24,.,0.02,0.03,0.03,49.7,0.05
Center,Badger,Bg_82,Bg,Badger_82,82,.,8.83,.,0,0.43,0,39.5,.
Ditch,Badger,Bg_83,Bg,Badger_83,83,.,10.13,.,0.4,0.53,0,49.04,.
East,Badger,Bg_84,Bg,Badger_84,84,.,11.46,.,0.64,0.63,0,41.4,.
North,Badger,Bg_85,Bg,Badger_85,85,.,11.97,.,0.39,1.23,0,40.96,.
River,Badger,Bg_86,Bg,Badger_86,86,.,9.13,.,0.57,0.75,0,42.64,.
South,Badger,Bg_87,Bg,Badger_87,87,.,10.59,.,1.18,1.07,0,38.14,.
West,Badger,Bg_88,Bg,Badger_88,88,.,10.04,.,0.51,0.46,0,32,.
Center,Badger,Bg_89,Bg,Badger_89,89,.,4.89,.,0.53,0.47,0,38.79,.
Ditch,Badger,Bg_90,Bg,Badger_90,90,.,7.53,.,0.66,0.53,0,47.7,.
East,Badger,Bg_91,Bg,Badger_91,91,.,5.18,.,0.49,0.48,0,42.77,.
North,Badger,Bg_92,Bg,Badger_92,92,.,4.69,.,0.36,0.39,0,38.34,.
River,Badger,Bg_93,Bg,Badger_93,93,.,5.17,.,0,0.65,0,36.58,.
South,Badger,Bg_94,Bg,Badger_94,94,.,4.66,.,0.39,0.32,0,40.36,.
West,Badger,Bg_95,Bg,Badger_95,95,.,5.43,.,0.57,0.43,0,36.82,.
Center,Badger,Bg_96,Bg,Badger_96,96,0.6253,8.28,.,0.34,0.2,0,47.56,.
Ditch,Badger,Bg_97,Bg,Badger_97,97,0.4823,8.9,.,0,0.19,0,47.64,.
East,Badger,Bg_98,Bg,Badger_98,98,0.562,8.25,.,0,0,0,46.64,.
North,Badger,Bg_99,Bg,Badger_99,99,0.5585,9.01,.,0,0,0,48.85,.
River,Badger,Bg_100,Bg,Badger_100,100,0.6661,8.59,.,0,0,0,47.84,.
South,Badger,Bg_101,Bg,Badger_101,101,0.6472,8.29,.,0,0,0,51.26,.
West,Badger,Bg_102,Bg,Badger_102,102,0.5962,9.89,.,0,0,0,56.04,.
Center well,Badger,Bg_103,Bg,Badger_103,103,0.8206,9.344,0,0.1092,0.5079,0,50.121,
Ditch,Badger,Bg_104,Bg,Badger_104,104,0.8317,15.1,0,0,0.1435,0,79.7273,
East well,Badger,Bg_105,Bg,Badger_105,105,0.7498,9.242,0,0,0.041,0,57.4994,
North well,Badger,Bg_106,Bg,Badger_106,106,0.7789,8.238,0,0,0.3063,0,49.268,
River,Badger,Bg_107,Bg,Badger_107,107,0.8226,6.888,0,0,0.2505,0,46.5638,
South well,Badger,Bg_108,Bg,Badger_108,108,0.7693,8.987,0,0,0.4392,0,53.4407,
West well,Badger,Bg_109,Bg,Badger_109,109,0.8064,8.619,0.3335,0.1249,0.2975,0.375,47.736,
Center well,Badger,Bg_110,Bg,Badger_110,110,1.486,16.123,0,0.0564,0.4312,0,40.6041,
Ditch,Badger,Bg_111,Bg,Badger_111,111,1.4096,17.184,0,0.181,0.0458,0,58.4462,
East well,Badger,Bg_112,Bg,Badger_112,112,1.2546,24.311,0,0.0101,0.2539,0,52.1431,
North well,Badger,Bg_113,Bg,Badger_113,113,1.3288,12.468,0,0,0.4212,0,37.3029,
River,Badger,Bg_114,Bg,Badger_114,114,1.2451,9.54,0,0,6.9749,0,25.406,
South well,Badger,Bg_115,Bg,Badger_115,115,1.4464,16.198,0,0.0304,0.3824,0,42.9795,
West well,Badger,Bg_116,Bg,Badger_116,116,1.2815,15.745,0,0,0.232,0,38.0153,
Center well,Badger,Bg_117,Bg,Badger_117,117,0.3907,6.0239,0.3036,0,0.0789,0,42.1693,
Ditch,Badger,Bg_118,Bg,Badger_118,118,0.4856,9.6679,0.2853,0.0646,0.3536,0.0524,54.3116,
East well,Badger,Bg_119,Bg,Badger_119,119,0.4733,5.9288,0.2456,0,0.3703,0,44.1476,
North well,Badger,Bg_120,Bg,Badger_120,120,0.2711,6.7555,0.1646,0,1.0983,0,40.6438,
River,Badger,Bg_121,Bg,Badger_121,121,0.3574,7.5435,0.165,0,1.0154,0,58.2455,
South well,Badger,Bg_122,Bg,Badger_122,122,0.5134,6.4361,0,0.2281,0.1919,0,49.3024,
West well,Badger,Bg_123,Bg,Badger_123,123,0.3859,6.6426,0.4201,0.2612,0.2917,0,39.4364,
Center well,Badger,Bg_124,Bg,Badger_124,124,0.5503,12.19,0.0624,0.779,1.8983,0.4359,77.83,
Ditch,Badger,Bg_125,Bg,Badger_125,125,0.6384,11.52,0.1052,0.8498,1.7353,0.6592,71.68,
East well,Badger,Bg_126,Bg,Badger_126,126,.,.,.,.,.,.,.,
North well,Badger,Bg_127,Bg,Badger_127,127,0.5644,13.28,0,0.7289,2.2383,0.511,60.45,
River,Badger,Bg_128,Bg,Badger_128,128,0.6714,12.93,0,0.5468,1.0505,0,61.19,
South well,Badger,Bg_129,Bg,Badger_129,129,0.5214,15.39,0,0.7453,1.5231,0.4381,90.34,
West well,Badger,Bg_130,Bg,Badger_130,130,0.591,11.91,0,0.7485,1.3829,0.6979,56.74,
Center well,Badger,Bg_131,Bg,Badger_131,131,0.5303,10.473,0,0.373,0.693,0.4063,31.4071,
Ditch,Badger,Bg_132,Bg,Badger_132,132,0.4578,11.445,0,0.3691,0.4357,0,43.9109,
East well,Badger,Bg_133,Bg,Badger_133,133,0.5518,11.706,0,0.3645,0.9504,0.3409,26.0265,
North well,Badger,Bg_134,Bg,Badger_134,134,0.4292,10.344,0,0.3491,1.2788,0.3764,30.5213,
River,Badger,Bg_135,Bg,Badger_135,135,0.486,11.014,0.5984,0.3576,0.3771,0,32.3408,
South well,Badger,Bg_136,Bg,Badger_136,136,0.5225,10.674,0,0.3429,0.6704,0,33.6669,
West well,Badger,Bg_137,Bg,Badger_137,137,0.6911,11.062,0,0.5832,1.0865,0,31.1978,
Center well,Badger,Bg_138,Bg,Badger_138,138,0.3038,12.721,1.3827,0.3623,0.682,0.384,50.6324,
Ditch,Badger,Bg_139,Bg,Badger_139,139,0.3742,9.9,1.5132,0.7631,0.376,0,57.8342,
East well,Badger,Bg_140,Bg,Badger_140,140,0.3308,6.938,1.5671,0.9891,0.7969,1.2275,51.4436,
North well,Badger,Bg_141,Bg,Badger_141,141,0.2939,6.333,1.4067,0.6638,0.9627,0,49.8502,
River,Badger,Bg_142,Bg,Badger_142,142,0.2767,5.553,0,1.5048,0,0,50.9956,
South well,Badger,Bg_143,Bg,Badger_143,143,.,.,.,.,.,.,.,
West well,Badger,Bg_144,Bg,Badger_144,144,0.2888,6.492,1.5493,0.7884,0.6269,0.3151,51.804,
Center,Belen,Bl_1,Bl,Belen_1,1,.,36.5,.,0.2,0.02,0.02,145.5,0.17
Ditch,Belen,Bl_2,Bl,Belen_2,2,.,28.52,.,0.13,0.13,0.15,105.41,0.04
East,Belen,Bl_3,Bl,Belen_3,3,.,109.45,.,0.18,0.01,0.12,305.52,0.23
North,Belen,Bl_4,Bl,Belen_4,4,.,18.18,.,0.15,0.02,0.13,54.21,0.03
River,Belen,Bl_5,Bl,Belen_5,5,.,21.58,.,0.09,0.63,0.32,57.31,0.04
South,Belen,Bl_6,Bl,Belen_6,6,.,135.04,.,0.38,0.02,0.02,415.39,0.2
West,Belen,Bl_7,Bl,Belen_7,7,.,26.66,.,0.11,0.02,0.15,89.55,0.1
Center,Belen,Bl_8,Bl,Belen_8,8,.,65.89,.,0.15,0.01,0,215.13,0.11
Ditch,Belen,Bl_9,Bl,Belen_9,9,.,27.11,.,0.1,0.13,0.15,91.38,0.11
East,Belen,Bl_10,Bl,Belen_10,10,.,61.01,.,0.14,0.03,0,192.8,0.08
North,Belen,Bl_11,Bl,Belen_11,11,.,37.08,.,0.14,0.02,0.01,151.37,0.03
River,Belen,Bl_12,Bl,Belen_12,12,.,26.07,.,0.1,0.68,0.42,55.41,0.02
South,Belen,Bl_13,Bl,Belen_13,13,.,49.82,.,0.15,0.02,0.01,135.53,0.08
West,Belen,Bl_14,Bl,Belen_14,14,.,40.76,.,0.11,0.02,0.02,153.84,0.08
Ditch,Belen,Bl_15,Bl,Belen_15,15,.,25.68,.,0.12,0.12,0.17,102.99,0.05
Center,Belen,Bl_16,Bl,Belen_16,16,.,56.04,.,0.22,0.01,0.07,175.55,0.13
East,Belen,Bl_17,Bl,Belen_17,17,.,75.06,.,0.24,0.01,0.03,202.23,0.16
North,Belen,Bl_18,Bl,Belen_18,18,.,51.1,.,0.18,0.01,0.05,144.25,0.04
River,Belen,Bl_19,Bl,Belen_19,19,.,15.95,.,0.06,0.69,0.28,52.48,0.02
South,Belen,Bl_20,Bl,Belen_20,20,.,40.47,.,0.16,0.01,0.04,119.97,0.12
West,Belen,Bl_21,Bl,Belen_21,21,.,65.06,.,0.25,0.01,0.04,197.78,0.17
Center,Belen,Bl_22,Bl,Belen_22,22,.,53.84,.,0.17,0.01,0.07,154.84,0.08
Ditch,Belen,Bl_23,Bl,Belen_23,23,.,25.58,.,0.12,0.18,0.14,84.42,0.06
East,Belen,Bl_24,Bl,Belen_24,24,.,133.48,.,0.4,0.01,0,453.45,0.17
North,Belen,Bl_25,Bl,Belen_25,25,.,58.93,.,0.16,0.01,0.01,148.16,0.09
River,Belen,Bl_26,Bl,Belen_26,26,.,40.67,.,0.09,0.7,0.12,109.34,0.19
South,Belen,Bl_27,Bl,Belen_27,27,.,46.02,.,0.17,0.02,0.05,132.63,0.03
West,Belen,Bl_28,Bl,Belen_28,28,.,48.99,.,0.18,0.01,0.04,166.75,0.07
Center,Belen,Bl_29,Bl,Belen_29,29,.,8.67,.,0.18,0.01,0.02,28.37,0.08
Ditch,Belen,Bl_30,Bl,Belen_30,30,.,29.37,.,0.13,0.1,0,97.49,0.03
East,Belen,Bl_31,Bl,Belen_31,31,.,26.36,.,0.23,0.02,4.43,80.96,0.14
North,Belen,Bl_32,Bl,Belen_32,32,.,15.59,.,0.16,0.02,0,42.58,0.05
River,Belen,Bl_33,Bl,Belen_33,33,.,17.82,.,0.09,0.36,0.22,45.66,0.06
South,Belen,Bl_34,Bl,Belen_34,34,.,14.95,.,0.22,0.01,0.03,41.25,0.09
West,Belen,Bl_35,Bl,Belen_35,35,.,9.08,.,0.17,0.02,0.11,28.17,0.07
Center,Belen,Bl_36,Bl,Belen_36,36,.,54.68,.,0.22,0.04,0.01,160.75,0.11
Ditch,Belen,Bl_37,Bl,Belen_37,37,.,26.57,.,0.11,0.09,0.13,87.52,0.04
East,Belen,Bl_38,Bl,Belen_38,38,.,58.76,.,0.16,0.04,0,177.16,0.05
North,Belen,Bl_39,Bl,Belen_39,39,.,27.75,.,0.24,0.04,0.01,70.92,0.04
River,Belen,Bl_40,Bl,Belen_40,40,.,21.96,.,0.07,0.4,0.22,47.57,0.02
South,Belen,Bl_41,Bl,Belen_41,41,.,59.38,.,0.24,0.02,0.01,161.3,0.13
West,Belen,Bl_42,Bl,Belen_42,42,.,44.75,.,0.14,0.03,0.05,147.98,0.06
Center,Belen,Bl_43,Bl,Belen_43,43,.,39.57,.,0.15,0.07,0.21,144.76,0.03
Ditch,Belen,Bl_44,Bl,Belen_44,44,.,29.94,.,0.16,0.16,0.16,118.86,0.01
East,Belen,Bl_45,Bl,Belen_45,45,.,76.79,.,0.24,0.04,0.01,238.35,0.04
North,Belen,Bl_46,Bl,Belen_46,46,.,38.3,.,0.15,0.07,0.2,131.27,0
River,Belen,Bl_47,Bl,Belen_47,47,.,21.82,.,0.07,0.53,0.42,57.84,0
South,Belen,Bl_48,Bl,Belen_48,48,.,40.44,.,0.19,0.04,0.12,144.92,0.02
West,Belen,Bl_49,Bl,Belen_49,49,.,49.77,.,0.16,0.02,0.04,182.17,0.02
Center,Belen,Bl_50,Bl,Belen_50,50,.,109.04,.,0.46,0.05,0.01,290.43,0.37
Ditch,Belen,Bl_51,Bl,Belen_51,51,.,28.76,.,0.12,0.2,0.48,115.42,0.01
East,Belen,Bl_52,Bl,Belen_52,52,.,27.1,.,0.18,0.06,0.05,76.46,0.13
North,Belen,Bl_53,Bl,Belen_53,53,.,67.42,.,0.22,0.03,0.03,198.06,0.09
River,Belen,Bl_54,Bl,Belen_54,54,.,16.95,.,0.05,0.76,0.38,46.72,0.02
South,Belen,Bl_55,Bl,Belen_55,55,.,33.32,.,0.18,0.09,0.15,114.69,0.25
West,Belen,Bl_56,Bl,Belen_56,56,.,48.28,.,0.23,0.02,0.1,171.52,0.22
Center,Belen,Bl_57,Bl,Belen_57,57,.,58,.,0.26,0.03,0.07,198.78,0.21
Ditch,Belen,Bl_58,Bl,Belen_58,58,.,24.82,.,0.12,0.16,0.03,97.44,0.01
East,Belen,Bl_59,Bl,Belen_59,59,.,68.6,.,0.23,0.07,0,175.46,0.2
North,Belen,Bl_60,Bl,Belen_60,60,.,52.57,.,0.19,0.04,0.09,166.15,0.05
River,Belen,Bl_61,Bl,Belen_61,61,.,21.92,.,0.04,0.96,0.33,55.52,0
South,Belen,Bl_62,Bl,Belen_62,62,.,48.04,.,0.22,0.05,0.06,178.29,0.32
West,Belen,Bl_63,Bl,Belen_63,63,.,40.23,.,0.17,0.03,0.09,143.77,0.19
Center,Belen,Bl_64,Bl,Belen_64,64,.,31.65,.,0.49,1.28,0,134.29,.
Ditch,Belen,Bl_65,Bl,Belen_65,65,.,31.73,.,0.44,2.03,1.12,118.04,.
East,Belen,Bl_66,Bl,Belen_66,66,.,77.58,.,0.64,0.4,0,290.09,.
North,Belen,Bl_67,Bl,Belen_67,67,.,42.58,.,0.61,0.56,0,162.73,.
River,Belen,Bl_68,Bl,Belen_68,68,.,24.3,.,0.58,2.55,1.27,67.03,.
South,Belen,Bl_69,Bl,Belen_69,69,.,57.01,.,0.56,0.34,0,251.06,.
